MATCH 5D4B5BC4 after generation 577 (38248 ms, 66 ms/gen)
MATCH 5A364947 after generation 484 (32095 ms, 66 ms/gen)
MATCH 489E3FC4 after generation 2208 (146193 ms, 66 ms/gen)
MATCH DB1074A7 after generation 2310 (152939 ms, 66 ms/gen)
MATCH 3FF2EE84 after generation 562 (37254 ms, 66 ms/gen)
MATCH 7E5066C4 after generation 592 (39241 ms, 66 ms/gen)
MATCH 902FEE47 after generation 804 (53285 ms, 66 ms/gen)
MATCH 91C20167 after generation 1115 (73843 ms, 66 ms/gen)
MATCH CE241FE5 after generation 2768 (183212 ms, 66 ms/gen)
MATCH 362262C6 after generation 277 (18406 ms, 66 ms/gen)
MATCH 22269BC5 after generation 780 (51700 ms, 66 ms/gen)
MATCH 90ADF05 after generation 2092 (138511 ms, 66 ms/gen)
MATCH 50B6F806 after generation 263 (17475 ms, 66 ms/gen)
MATCH D864B285 after generation 607 (40238 ms, 66 ms/gen)
MATCH 5254A126 after generation 1113 (73740 ms, 66 ms/gen)
MATCH 774C67E5 after generation 581 (38515 ms, 66 ms/gen)
MATCH 71373547 after generation 719 (47643 ms, 66 ms/gen)
MATCH 672B3805 after generation 531 (35207 ms, 66 ms/gen)
MATCH BDBB60C7 after generation 350 (23229 ms, 66 ms/gen)
MATCH D70AB3A6 after generation 765 (50697 ms, 66 ms/gen)
MATCH 5C4D2C66 after generation 667 (44204 ms, 66 ms/gen)
MATCH 307D2265 after generation 1104 (73124 ms, 66 ms/gen)
MATCH C37D9F45 after generation 264 (17537 ms, 66 ms/gen)
MATCH 7CB08D04 after generation 1020 (67577 ms, 66 ms/gen)
MATCH B1706A26 after generation 496 (32890 ms, 66 ms/gen)
MATCH A8747305 after generation 1746 (115592 ms, 66 ms/gen)
MATCH 8A43D8C7 after generation 714 (47321 ms, 66 ms/gen)
MATCH C9F1DAC5 after generation 320 (21245 ms, 66 ms/gen)
MATCH A306D987 after generation 382 (25347 ms, 66 ms/gen)
MATCH 25B04CC6 after generation 279 (18530 ms, 66 ms/gen)
MATCH C6E5F9A4 after generation 787 (52158 ms, 66 ms/gen)
MATCH 68B5BA25 after generation 161 (10722 ms, 66 ms/gen)
MATCH D1811527 after generation 740 (49039 ms, 66 ms/gen)
MATCH 17C5BBA7 after generation 214 (14230 ms, 66 ms/gen)
MATCH 82098C06 after generation 599 (39704 ms, 66 ms/gen)
MATCH 6CD9E5 after generation 452 (29986 ms, 66 ms/gen)
MATCH E9705805 after generation 2547 (168610 ms, 66 ms/gen)
MATCH 2AF607A4 after generation 703 (46590 ms, 66 ms/gen)
MATCH 656C9D46 after generation 866 (57382 ms, 66 ms/gen)
MATCH ECD66005 after generation 1287 (85234 ms, 66 ms/gen)
Prime hash match!
MATCH A84D1D24 after generation 590 (39107 ms, 66 ms/gen)
MATCH 74F63BE6 after generation 721 (47792 ms, 66 ms/gen)
MATCH 8BD24BC7 after generation 233 (15487 ms, 66 ms/gen)
MATCH 27BE4CA5 after generation 887 (58790 ms, 66 ms/gen)
MATCH D76BC025 after generation 263 (17475 ms, 66 ms/gen)
MATCH CB91F406 after generation 2511 (166270 ms, 66 ms/gen)
MATCH D95704A7 after generation 957 (63409 ms, 66 ms/gen)
MATCH 477AAE85 after generation 1865 (123480 ms, 66 ms/gen)
MATCH 3D541B44 after generation 660 (43746 ms, 66 ms/gen)
MATCH C7BCC026 after generation 762 (50497 ms, 66 ms/gen)
MATCH D27CBCC4 after generation 389 (25803 ms, 66 ms/gen)
MATCH E9C2A366 after generation 1037 (68703 ms, 66 ms/gen)
MATCH D512E0E4 after generation 766 (50766 ms, 66 ms/gen)
MATCH 6F77F086 after generation 1431 (94774 ms, 66 ms/gen)
MATCH 1FC3CC85 after generation 768 (50891 ms, 66 ms/gen)
MATCH ED27AEA5 after generation 889 (58908 ms, 66 ms/gen)
MATCH 9C1B79E6 after generation 219 (14558 ms, 66 ms/gen)
MATCH 988DD806 after generation 810 (53657 ms, 66 ms/gen)
MATCH 6EFCAF04 after generation 100 (6685 ms, 66 ms/gen)
MATCH EA480E67 after generation 403 (26744 ms, 66 ms/gen)
MATCH C87CBFC6 after generation 257 (17079 ms, 66 ms/gen)
MATCH 483BC5E5 after generation 826 (54735 ms, 66 ms/gen)
MATCH E9216627 after generation 862 (57112 ms, 66 ms/gen)
MATCH 82AFDA04 after generation 537 (35610 ms, 66 ms/gen)
MATCH 18B25464 after generation 880 (58316 ms, 66 ms/gen)
MATCH 4B596387 after generation 393 (26082 ms, 66 ms/gen)
MATCH 95634D25 after generation 475 (31496 ms, 66 ms/gen)
